Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
MACD+ST+HMA+WT,US30,M15,64,35.94,-7.55,0.87,17.8,-1.0,2.02,-1.3,3,9,5.93
MACD+ST+HMA+WT,USDJPY,M15,259,40.54,-13.85,0.94,20.25,-0.42,1.82,-1.31,6,10,5.52
MACD+UT+WT,USDJPY,M15,264,40.53,-14.63,0.94,22.31,-0.45,1.8,-1.3,6,11,5.06
ST+HMA+WT+MACD_wide,US30,H1,225,36.0,-10.67,0.95,28.28,-0.36,1.88,-1.11,4,7,4.6
ST2.0+HMA+WT+MACD,USDJPY,H1,584,42.98,-14.0,0.99,39.17,-0.09,1.9,-1.45,5,9,4.54
MACD+ST+HMA+WT,US30,H1,164,39.02,-11.58,0.92,33.0,-0.57,1.89,-1.31,6,8,4.4
ST+HMA+MACD_only,BTCUSD,H4,275,41.09,-13.04,0.96,36.99,-0.31,1.94,-1.41,6,8,4.35
ST+WT+MACD_only,BTCUSD,H4,275,41.09,-13.04,0.96,36.99,-0.31,1.94,-1.41,6,8,4.35
ST+UT+HMA,BTCUSD,H4,275,41.09,-13.04,0.96,36.99,-0.31,1.94,-1.41,6,8,4.35
MACD+UT+WT,US30,H1,166,39.16,-11.97,0.92,33.29,-0.59,1.87,-1.31,6,8,4.27
WT+ST+HMA,GBPUSD,H4,199,37.69,-14.44,0.93,22.61,-0.56,2.07,-1.36,5,8,4.27
WT+ST+HMA,USDJPY,M15,309,40.13,-16.0,0.95,27.33,-0.4,1.86,-1.32,5,8,4.09
ST+ALL_conservative,US30,M15,71,29.58,-8.57,0.86,17.05,-1.02,2.33,-1.14,3,10,4.08
MACD+UT+WT,US30,M15,67,34.33,-10.39,0.82,19.96,-1.39,2.04,-1.29,3,10,4.08
UT_solo+ST_tight,US30,H1,197,38.07,-12.38,0.95,33.85,-0.39,2.31,-1.5,4,7,4.02
ST+HMA+WT+MACD_tight,US30,H1,226,38.5,-13.5,0.95,32.45,-0.38,2.24,-1.48,5,6,3.95
ST+HMA+WT+MACD_wide,GBPUSD,H1,804,36.94,-14.34,0.99,29.57,-0.07,1.82,-1.07,6,11,3.91
WT+ST+HMA+MACD,GBPUSD,H4,200,37.5,-15.23,0.92,23.32,-0.6,2.08,-1.35,5,8,3.87
ST+HMA+WT+MACD_wide,US30,M15,86,30.23,-9.74,0.87,18.11,-0.96,2.3,-1.15,3,11,3.85
UT+ST+HMA+MACD,BTCUSD,H4,268,41.04,-12.76,0.96,43.39,-0.31,1.95,-1.41,6,8,3.78
ST+ALL_conservative,US30,H1,199,36.68,-13.37,0.92,27.57,-0.61,1.77,-1.12,3,12,3.78
UT+EMA200+MACD,USDJPY,H1,744,40.19,-14.88,0.99,38.77,-0.05,2.0,-1.35,6,12,3.66
ST+HMA+WT+MACD_tight,US30,M15,87,32.18,-10.37,0.9,26.67,-0.73,2.76,-1.46,7,13,3.52
ST_solo+HMA_tight,US30,M15,87,32.18,-10.37,0.9,26.67,-0.73,2.76,-1.46,7,13,3.52
HMA+UT+WT,BTCUSD,H1,1041,42.17,-12.66,1.0,52.78,0.02,1.89,-1.38,7,15,3.49
HMA+UT+WT,US30,H1,205,39.51,-14.87,0.92,33.49,-0.58,1.89,-1.34,5,7,3.48
HMA+UT+WT,BTCUSD,H4,251,39.44,-17.59,0.92,26.29,-0.57,1.92,-1.35,5,12,3.37
UT+ST+WT,USDJPY,H1,692,40.03,-16.48,0.99,36.93,-0.09,1.99,-1.34,5,11,3.28
MACD+ST+HMA,GBPUSD,M15,324,38.89,-16.8,0.95,30.64,-0.35,2.04,-1.36,8,10,3.25
HMA+ST+WT+MACD,US30,H1,191,38.22,-14.02,0.92,35.55,-0.56,1.99,-1.33,5,9,3.22
WT+ST+HMA+MACD,US30,M15,89,33.71,-13.89,0.82,16.67,-1.42,2.08,-1.29,2,6,3.17
MACD+UT+WT,GBPUSD,M15,314,38.54,-17.46,0.95,30.07,-0.39,2.06,-1.37,8,10,2.99
UT_solo+ST_tight,US30,H4,39,30.77,-11.01,0.74,12.5,-2.19,2.56,-1.54,3,6,2.98
WT+EMA200+MACD,USDJPY,M15,307,39.74,-19.04,0.93,27.73,-0.52,1.86,-1.32,5,8,2.92
HMA+ST+WT+MACD,BTCUSD,H1,1012,42.09,-12.54,1.0,59.78,0.02,1.88,-1.36,7,10,2.81
MACD+ST+HMA,US30,H1,169,38.46,-15.25,0.9,34.95,-0.79,1.87,-1.31,6,8,2.74
ST+HMA+WT+MACD_default,US30,M15,86,34.88,-14.44,0.81,22.4,-1.53,2.04,-1.35,3,12,2.63
ST+HMA+WT_only,US30,M15,86,34.88,-14.44,0.81,22.4,-1.53,2.04,-1.35,3,12,2.63
ST_solo+HMA_tight,US30,H1,223,38.12,-16.4,0.93,34.72,-0.51,2.24,-1.48,5,6,2.62
HMA+ST+MACD,BTCUSD,M15,468,41.03,-19.59,0.96,35.91,-0.29,1.86,-1.35,5,7,2.49
WT+EMA200+MACD,EURUSD,M15,404,39.11,-15.21,0.97,45.56,-0.24,1.93,-1.28,6,11,2.41
UT_solo+ST_tight,USDJPY,H1,589,39.05,-18.65,0.98,36.95,-0.12,2.29,-1.49,6,16,2.35
UT+ALL_conservative,BTCUSD,H1,948,39.14,-14.02,1.0,52.37,-0.03,1.73,-1.12,5,9,2.31
MACD+ST+HMA,USDJPY,M15,267,39.33,-20.93,0.91,26.14,-0.72,1.82,-1.31,6,12,2.21
ST+HMA+MACD_only,US30,M15,91,35.16,-15.29,0.81,24.72,-1.52,2.04,-1.36,4,9,2.21
ST+WT+MACD_only,US30,M15,91,35.16,-15.29,0.81,24.72,-1.52,2.04,-1.36,4,9,2.21
ST+UT+HMA,US30,M15,91,35.16,-15.29,0.81,24.72,-1.52,2.04,-1.36,4,9,2.21
ST2.0+HMA+WT+MACD,BTCUSD,H1,939,43.02,-18.54,0.99,51.36,-0.05,1.89,-1.44,6,11,2.01
HMA+ST+MACD,BTCUSD,H1,1311,41.42,-13.94,1.01,63.93,0.04,1.96,-1.38,7,14,1.83
HMA+ST+MACD,USDJPY,M15,343,40.23,-21.84,0.93,32.2,-0.53,1.88,-1.36,5,10,1.75
WT+ST+HMA+MACD,EURUSD,M15,405,39.01,-16.9,0.96,46.64,-0.29,1.93,-1.28,6,11,1.73
WT+EMA200+MACD,US30,M15,90,33.33,-16.79,0.78,18.95,-1.78,2.02,-1.3,3,6,1.62
MACD+ST+HMA,BTCUSD,M15,296,39.19,-21.99,0.92,29.46,-0.62,1.96,-1.38,4,9,1.62
UT_fast+ST+HMA,BTCUSD,H4,288,38.19,-14.93,0.96,52.73,-0.26,2.42,-1.55,6,9,1.53
WT+ST+HMA,EURUSD,M15,404,38.86,-17.32,0.96,46.91,-0.3,1.94,-1.29,6,11,1.53
HMA21+ST+WT+MACD,USDJPY,H1,672,40.33,-16.98,0.98,53.92,-0.11,1.96,-1.35,8,9,1.48
UT_fast+ST+HMA,US30,H1,258,38.37,-20.1,0.92,35.57,-0.57,2.21,-1.49,5,8,1.43
ST2.0+HMA+WT+MACD,US30,H1,199,37.19,-19.23,0.9,34.6,-0.77,2.11,-1.39,4,7,1.29
UT+ST+WT,US30,H1,222,36.49,-18.41,0.91,36.33,-0.68,2.06,-1.3,5,6,1.27
UT+HMA+WT+MACD_default,US30,H1,227,37.0,-18.61,0.91,38.95,-0.67,2.03,-1.31,5,6,1.09
ST2.0+HMA+WT+MACD,BTCUSD,H4,220,41.36,-23.61,0.87,33.04,-0.98,1.8,-1.45,8,8,0.97
WT+ST+HMA+MACD,USDJPY,H1,739,41.54,-21.67,0.98,47.76,-0.16,1.88,-1.37,7,11,0.95
UT_solo+ST_tight,BTCUSD,M15,391,38.62,-25.05,0.94,28.01,-0.42,2.31,-1.54,7,8,0.91
WT+ST+HMA,US30,M15,89,32.58,-17.8,0.76,19.93,-1.93,2.05,-1.3,2,6,0.9
ST3.0+HMA+WT+MACD,USDJPY,H1,308,42.86,-22.56,0.93,46.01,-0.54,1.94,-1.57,7,8,0.8
ST+EMA200+HMA,US30,M15,88,34.09,-17.75,0.77,25.41,-1.9,2.04,-1.37,3,13,0.78
UT_fast+ST+HMA,USDJPY,H1,789,38.66,-22.66,0.99,40.19,-0.1,2.32,-1.48,5,19,0.75
HMA+ST+MACD,US30,H1,273,38.46,-22.62,0.91,34.43,-0.71,1.95,-1.35,5,8,0.67
ST+HMA+WT+MACD_default,EURUSD,M15,422,38.63,-20.41,0.95,46.45,-0.36,1.97,-1.31,6,14,0.52
ST+HMA+WT_only,EURUSD,M15,422,38.63,-20.41,0.95,46.45,-0.36,1.97,-1.31,6,14,0.52
UT_fast+ST+HMA,USDJPY,M15,351,38.46,-20.63,0.95,46.86,-0.37,2.3,-1.51,7,10,0.37
MACD+ST+HMA+WT,GBPUSD,M15,305,38.03,-23.21,0.92,35.78,-0.61,2.04,-1.37,8,10,0.34
WT+ST+HMA+MACD,USDJPY,M15,308,39.29,-25.15,0.9,32.0,-0.76,1.85,-1.33,5,8,0.31
MACD+UT+WT,BTCUSD,M15,298,38.93,-25.37,0.9,32.51,-0.76,1.94,-1.37,4,12,0.1
MACD+ST+HMA+WT,BTCUSD,M15,285,39.3,-25.55,0.89,32.68,-0.81,1.91,-1.38,4,11,0.07
HMA21+ST+WT+MACD,US30,H1,232,37.07,-22.74,0.88,36.23,-0.87,1.99,-1.33,5,7,-0.06
UT_solo+ST_tight,BTCUSD,H4,218,37.61,-21.45,0.91,46.68,-0.68,2.37,-1.57,8,7,-0.39
ST3.0+HMA+WT+MACD,BTCUSD,H1,513,42.5,-23.03,0.96,59.48,-0.28,1.98,-1.52,10,9,-0.52
HMA21+ST+WT+MACD,USDJPY,M15,289,38.41,-24.0,0.9,41.61,-0.76,1.92,-1.33,6,11,-0.53
UT+HMA+WT+MACD_default,USDJPY,M15,298,38.59,-25.53,0.89,37.94,-0.81,1.87,-1.31,6,12,-0.62
UT+ALL_conservative,USDJPY,M15,256,36.33,-23.86,0.86,36.05,-1.01,1.65,-1.09,5,10,-0.71
UT+EMA200+MACD,US30,M15,95,33.68,-21.12,0.74,26.89,-2.16,2.02,-1.38,6,10,-0.74
UT+ST+HMA+MACD,US30,H1,240,36.67,-23.51,0.88,39.72,-0.87,2.0,-1.31,5,6,-0.75
ST+HMA+WT+MACD_tight,GBPUSD,H1,804,39.05,-26.94,0.98,43.53,-0.15,2.31,-1.51,6,14,-0.82
UT+EMA200+MACD,US30,H1,242,36.78,-23.81,0.88,39.95,-0.88,1.98,-1.31,5,6,-0.84
ST1.5+HMA+WT+MACD,USDJPY,M15,353,38.81,-28.43,0.89,34.15,-0.82,1.76,-1.25,5,10,-1.07
ST3.0+HMA+WT+MACD,BTCUSD,M15,194,38.14,-27.09,0.85,33.09,-1.19,2.1,-1.53,4,7,-1.1
UT+ST+HMA+MACD,USDJPY,H1,732,39.62,-28.55,0.96,42.65,-0.27,1.98,-1.35,6,12,-1.2
UT+HMA+WT+MACD_default,USDJPY,H1,722,39.75,-28.56,0.96,42.93,-0.28,1.97,-1.35,6,12,-1.21
MACD+ST+HMA,EURUSD,M15,305,36.39,-25.8,0.9,40.62,-0.74,2.06,-1.31,4,8,-1.46
ST_solo+HMA_tight,GBPUSD,H1,799,39.05,-28.25,0.98,45.93,-0.17,2.3,-1.51,6,14,-1.48
UT+ALL_conservative,USDJPY,H1,628,37.9,-29.9,0.94,37.14,-0.44,1.75,-1.14,7,12,-1.66
ST1.5+HMA+WT+MACD,EURUSD,M15,474,37.34,-26.92,0.93,44.24,-0.49,1.93,-1.23,6,9,-1.67
HMA+ST+MACD,USDJPY,H4,210,36.67,-27.8,0.84,36.18,-1.25,2.04,-1.4,6,11,-2.04
HMA21+ST+WT+MACD,BTCUSD,H4,231,38.96,-29.88,0.84,38.27,-1.22,1.91,-1.44,5,11,-2.28
ST3.0+HMA+WT+MACD,EURUSD,M15,207,38.16,-27.58,0.85,44.05,-1.18,1.98,-1.45,8,14,-2.34
UT+ALL_conservative,GBPUSD,H1,704,35.23,-29.79,0.95,39.34,-0.38,1.86,-1.07,6,10,-2.46
MACD+UT+WT,EURUSD,M15,305,35.74,-28.26,0.89,42.04,-0.83,2.1,-1.31,4,8,-2.59
MACD+ST+HMA+WT,GBPUSD,H1,625,39.84,-30.16,0.95,51.64,-0.38,1.93,-1.35,5,8,-2.64
UT+ALL_conservative,EURUSD,M15,362,33.7,-26.66,0.89,43.71,-0.74,1.84,-1.05,5,13,-2.71
WT+ST+HMA,BTCUSD,H4,268,37.31,-30.37,0.86,39.17,-1.03,2.03,-1.4,4,9,-2.74
ST+ALL_conservative,GBPUSD,H1,671,36.21,-30.91,0.94,42.39,-0.44,1.77,-1.07,6,12,-2.92
WT+EMA200+MACD,BTCUSD,H4,267,37.08,-30.68,0.86,39.45,-1.05,2.04,-1.4,4,9,-2.94
ST3.0+HMA+WT+MACD,GBPUSD,M15,206,38.35,-30.76,0.82,40.14,-1.36,1.94,-1.47,5,8,-3.03
MACD+ST+HMA+WT,EURUSD,M15,295,35.59,-29.53,0.88,42.89,-0.92,2.09,-1.31,4,8,-3.18
ST+HMA+WT+MACD_wide,USDJPY,M15,308,36.36,-30.86,0.84,38.26,-1.18,1.61,-1.09,5,10,-3.19
UT+ST+HMA+MACD,US30,M15,93,32.26,-25.12,0.68,30.6,-2.79,1.98,-1.38,6,10,-3.26
ST_solo+HMA_tight,BTCUSD,H4,254,36.61,-27.55,0.89,53.89,-0.83,2.37,-1.54,6,10,-3.34
UT+EMA200+MACD,USDJPY,M15,309,37.86,-31.8,0.87,44.47,-1.05,1.87,-1.32,6,12,-3.58
UT+ST+HMA+MACD,USDJPY,M15,307,37.79,-31.88,0.86,44.54,-1.06,1.87,-1.31,6,12,-3.64
ST2.0+HMA+WT+MACD,BTCUSD,M15,327,41.9,-36.53,0.86,40.57,-1.15,1.75,-1.48,5,6,-3.69
ST3.0+HMA+WT+MACD,USDJPY,M15,136,38.24,-32.13,0.72,32.76,-2.39,1.81,-1.55,4,7,-3.71
WT+ST+HMA,BTCUSD,M15,391,39.64,-35.72,0.88,40.31,-0.9,1.85,-1.38,7,8,-3.75
WT+ST+HMA+MACD,BTCUSD,H4,264,36.74,-32.4,0.85,40.94,-1.14,2.05,-1.4,4,9,-3.78
ST+EMA200+HMA,EURUSD,M15,434,38.02,-31.44,0.91,53.06,-0.65,1.97,-1.32,7,15,-3.9
UT+HMA+WT+MACD_default,EURUSD,M15,412,36.89,-31.39,0.91,50.65,-0.7,2.0,-1.29,6,8,-3.97
ST+HMA+WT+MACD_default,USDJPY,M15,308,37.34,-35.13,0.85,37.67,-1.2,1.87,-1.32,5,10,-4.18
ST+HMA+WT_only,USDJPY,M15,308,37.34,-35.13,0.85,37.67,-1.2,1.87,-1.32,5,10,-4.18
ST1.5+HMA+WT+MACD,US30,M15,98,31.63,-26.3,0.66,33.18,-2.99,1.83,-1.29,7,11,-4.22
UT+HMA+WT+MACD_default,US30,M15,87,31.03,-25.93,0.65,31.35,-3.16,1.97,-1.37,6,16,-4.23
ST2.0+HMA+WT+MACD,EURUSD,M15,356,39.89,-34.19,0.88,50.8,-0.93,1.87,-1.41,10,13,-4.31
ST+HMA+MACD_only,EURUSD,M15,445,37.98,-32.42,0.91,55.62,-0.66,1.97,-1.32,7,15,-4.47
ST+WT+MACD_only,EURUSD,M15,445,37.98,-32.42,0.91,55.62,-0.66,1.97,-1.32,7,15,-4.47
ST+UT+HMA,EURUSD,M15,445,37.98,-32.42,0.91,55.62,-0.66,1.97,-1.32,7,15,-4.47
WT+ST+HMA+MACD,BTCUSD,M15,391,39.64,-37.42,0.87,41.88,-0.97,1.84,-1.38,7,7,-4.48
UT+ST+WT,USDJPY,M15,291,37.46,-33.93,0.85,44.85,-1.22,1.88,-1.33,6,11,-4.52
ST+HMA+WT+MACD_tight,BTCUSD,H4,257,36.19,-31.27,0.87,56.26,-0.98,2.37,-1.54,6,10,-4.95
ST1.5+HMA+WT+MACD,GBPUSD,H1,910,38.35,-36.51,0.95,52.81,-0.33,1.95,-1.27,6,8,-4.98
MACD+ST+HMA,GBPUSD,H1,653,39.36,-36.96,0.93,55.52,-0.5,1.93,-1.35,5,11,-5.32
WT+ST+HMA+MACD,US30,H1,242,36.36,-36.48,0.8,39.98,-1.58,1.93,-1.38,5,12,-5.43
WT+ST+HMA,US30,H1,242,36.36,-36.48,0.8,39.98,-1.58,1.93,-1.38,5,12,-5.43
WT+EMA200+MACD,US30,H1,242,36.36,-36.48,0.8,39.98,-1.58,1.93,-1.38,5,12,-5.43
WT+EMA200+MACD,BTCUSD,M15,396,39.39,-39.3,0.87,45.37,-1.02,1.84,-1.38,7,8,-5.51
MACD+UT+WT,GBPUSD,H1,645,39.38,-38.29,0.93,54.14,-0.54,1.93,-1.35,5,10,-5.61
UT_fast+ST+HMA,GBPUSD,H1,913,38.12,-38.82,0.96,53.35,-0.26,2.35,-1.5,7,15,-5.72
UT+EMA200+MACD,EURUSD,M15,440,36.82,-35.66,0.9,55.77,-0.77,2.01,-1.3,7,9,-5.86
UT+ST+WT,EURUSD,M15,405,36.3,-35.59,0.89,54.02,-0.84,2.03,-1.31,6,9,-5.86
ST+HMA+WT+MACD_default,GBPUSD,H1,805,39.01,-39.06,0.94,54.63,-0.42,1.96,-1.33,6,11,-5.86
ST+HMA+WT_only,GBPUSD,H1,805,39.01,-39.06,0.94,54.63,-0.42,1.96,-1.33,6,11,-5.86
UT+ALL_conservative,US30,M15,76,23.68,-24.88,0.59,27.85,-3.65,2.21,-1.16,3,11,-5.88
ST+HMA+MACD_only,GBPUSD,H1,860,39.19,-41.09,0.94,51.79,-0.43,1.94,-1.33,6,11,-6.14
ST+WT+MACD_only,GBPUSD,H1,860,39.19,-41.09,0.94,51.79,-0.43,1.94,-1.33,6,11,-6.14
ST+UT+HMA,GBPUSD,H1,860,39.19,-41.09,0.94,51.79,-0.43,1.94,-1.33,6,11,-6.14
UT_fast+ST+HMA,US30,M15,96,28.12,-29.68,0.68,36.68,-2.63,2.61,-1.5,7,10,-6.15
HMA+ST+WT+MACD,USDJPY,H1,645,39.69,-41.92,0.92,49.22,-0.64,1.9,-1.36,7,10,-6.23
ST3.0+HMA+WT+MACD,EURUSD,H1,366,38.8,-40.85,0.87,46.75,-1.04,2.08,-1.52,5,8,-6.28
HMA+ST+MACD,GBPUSD,H4,233,33.91,-37.19,0.79,39.35,-1.67,2.09,-1.35,5,9,-6.28
UT_fast+ST+HMA,BTCUSD,M15,500,37.8,-41.33,0.91,47.13,-0.69,2.29,-1.53,8,9,-6.36
ST+EMA200+HMA,USDJPY,M15,312,36.86,-39.79,0.82,43.48,-1.43,1.86,-1.32,5,10,-6.5
ST2.0+HMA+WT+MACD,USDJPY,M15,259,37.84,-39.72,0.79,43.42,-1.72,1.81,-1.39,6,10,-6.51
ST+HMA+WT+MACD_wide,BTCUSD,H1,1100,38.64,-38.34,0.96,66.86,-0.31,1.73,-1.14,7,12,-6.85
UT+ST+HMA+MACD,EURUSD,M15,429,36.6,-38.28,0.88,56.97,-0.88,1.99,-1.3,7,9,-6.93
UT_solo+ST_tight,GBPUSD,H1,712,37.78,-42.36,0.94,52.79,-0.45,2.33,-1.51,7,12,-7.0
HMA21+ST+WT+MACD,BTCUSD,M15,380,39.74,-43.54,0.84,46.08,-1.29,1.78,-1.4,5,7,-7.03
UT+ST+WT,US30,M15,89,29.21,-30.99,0.59,33.92,-3.89,1.96,-1.38,4,10,-7.13
ST+HMA+MACD_only,USDJPY,M15,318,36.48,-41.56,0.82,45.14,-1.48,1.87,-1.32,4,10,-7.34
ST+WT+MACD_only,USDJPY,M15,318,36.48,-41.56,0.82,45.14,-1.48,1.87,-1.32,4,10,-7.34
ST+ALL_conservative,USDJPY,M15,292,34.59,-40.01,0.77,43.3,-1.82,1.58,-1.09,5,9,-7.51
HMA+UT+WT,USDJPY,M15,267,35.58,-40.69,0.78,45.1,-1.75,1.84,-1.3,6,19,-7.57
ST+HMA+WT+MACD_wide,EURUSD,M15,421,33.49,-38.8,0.85,54.65,-1.09,1.78,-1.05,7,14,-7.85
ST+UT+HMA,USDJPY,M15,319,36.36,-42.86,0.81,46.36,-1.54,1.87,-1.32,4,10,-7.94
ST+ALL_conservative,BTCUSD,M15,342,35.38,-42.49,0.8,44.99,-1.56,1.69,-1.16,3,10,-7.98
HMA+UT+WT,USDJPY,H1,665,39.55,-44.15,0.91,60.23,-0.67,1.91,-1.37,7,15,-8.06
ST+EMA200+HMA,GBPUSD,H1,833,38.78,-45.2,0.93,57.37,-0.52,1.95,-1.33,6,11,-8.14
UT_solo+ST_tight,US30,M15,75,24.0,-30.61,0.6,35.64,-3.51,2.85,-1.51,4,14,-8.19
UT_fast+ST+HMA,EURUSD,M15,466,36.7,-42.95,0.89,59.96,-0.82,2.29,-1.49,7,11,-8.54
ST+ALL_conservative,EURUSD,H1,698,35.1,-45.78,0.9,54.38,-0.75,1.86,-1.12,4,10,-9.16
HMA21+ST+WT+MACD,EURUSD,H1,741,38.87,-49.09,0.91,57.14,-0.7,1.9,-1.33,6,13,-9.44
UT+HMA+WT+MACD_default,GBPUSD,H1,805,37.89,-48.1,0.92,59.56,-0.61,1.99,-1.32,6,9,-9.53
ST+HMA+WT+MACD_wide,EURUSD,H1,799,35.54,-46.5,0.91,59.06,-0.65,1.84,-1.12,4,12,-9.64
ST+ALL_conservative,BTCUSD,H1,945,38.62,-46.13,0.92,70.26,-0.54,1.67,-1.14,6,12,-9.76
ST_solo+HMA_tight,EURUSD,M15,418,36.12,-45.85,0.86,60.44,-1.04,2.27,-1.48,8,10,-9.82
UT+ST+HMA+MACD,GBPUSD,H1,853,38.22,-50.77,0.92,58.3,-0.63,1.96,-1.32,6,12,-10.14
WT+EMA200+MACD,EURUSD,H1,837,39.19,-51.1,0.91,59.81,-0.65,1.9,-1.34,6,15,-10.17
ST3.0+HMA+WT+MACD,GBPUSD,H1,396,38.38,-50.27,0.83,55.08,-1.33,2.04,-1.53,6,8,-10.33
ST+HMA+WT+MACD_tight,EURUSD,M15,422,36.02,-47.61,0.86,61.73,-1.1,2.26,-1.48,8,10,-10.56
ST+ALL_conservative,EURUSD,M15,346,32.66,-44.89,0.78,56.98,-1.73,1.72,-1.08,7,12,-10.75
UT+EMA200+MACD,GBPUSD,H1,869,38.32,-52.53,0.91,59.97,-0.65,1.94,-1.32,6,12,-10.84
UT+ST+WT,BTCUSD,M15,431,38.75,-52.77,0.81,54.91,-1.5,1.79,-1.39,5,8,-11.13
HMA+ST+MACD,USDJPY,H1,824,38.59,-53.64,0.91,60.76,-0.7,1.98,-1.37,9,15,-11.23
UT_solo+ST_tight,EURUSD,M15,377,35.01,-48.63,0.84,62.39,-1.28,2.31,-1.49,6,10,-11.36
HMA+ST+WT+MACD,USDJPY,M15,271,33.95,-48.2,0.73,52.18,-2.21,1.87,-1.31,4,19,-11.38
UT_solo+ST_tight,EURUSD,H1,726,37.88,-52.54,0.91,64.16,-0.67,2.24,-1.5,5,12,-11.39
UT+ST+WT,GBPUSD,H1,799,37.92,-54.62,0.9,59.27,-0.78,1.94,-1.32,6,12,-11.62
UT+HMA+WT+MACD_default,BTCUSD,M15,422,39.34,-54.19,0.8,57.01,-1.65,1.71,-1.39,5,9,-11.77
WT+ST+HMA,EURUSD,H1,832,38.82,-56.2,0.9,65.12,-0.78,1.89,-1.34,6,15,-12.45
UT+EMA200+MACD,BTCUSD,M15,466,38.63,-56.3,0.81,58.37,-1.54,1.79,-1.39,5,8,-12.61
UT+ST+HMA+MACD,BTCUSD,M15,451,38.36,-56.81,0.8,58.86,-1.63,1.78,-1.39,5,7,-12.96
UT+ALL_conservative,BTCUSD,M15,358,34.08,-53.02,0.74,55.27,-2.12,1.66,-1.16,5,9,-13.02
HMA+ST+MACD,EURUSD,H1,947,38.23,-58.87,0.91,62.77,-0.71,1.96,-1.34,9,12,-13.1
WT+ST+HMA+MACD,EURUSD,H1,833,38.66,-58.43,0.89,64.28,-0.84,1.89,-1.34,6,15,-13.14
UT+ALL_conservative,EURUSD,H1,711,34.18,-54.33,0.87,64.28,-0.98,1.86,-1.11,4,11,-13.19
ST_solo+HMA_tight,BTCUSD,M15,418,37.08,-57.65,0.81,58.93,-1.58,2.1,-1.54,6,11,-13.5
ST+HMA+WT+MACD_tight,BTCUSD,M15,423,37.12,-58.04,0.81,59.3,-1.58,2.1,-1.54,6,7,-13.64
ST+HMA+WT+MACD_wide,BTCUSD,M15,423,33.81,-56.6,0.75,58.19,-1.97,1.68,-1.14,4,10,-14.32
WT+EMA200+MACD,GBPUSD,H1,815,37.79,-61.03,0.88,68.26,-0.92,1.93,-1.33,6,13,-14.62
ST+EMA200+HMA,BTCUSD,M15,435,37.24,-59.66,0.77,61.68,-1.89,1.77,-1.36,4,12,-14.63
MACD+ST+HMA,EURUSD,H1,642,37.69,-61.22,0.84,66.78,-1.23,1.9,-1.37,8,15,-14.85
WT+ST+HMA+MACD,GBPUSD,H1,813,37.64,-62.08,0.87,69.85,-0.96,1.93,-1.33,6,13,-15.17
ST+UT+HMA,BTCUSD,M15,464,37.07,-61.43,0.78,63.2,-1.82,1.81,-1.37,4,14,-15.29
ST+HMA+WT+MACD_default,BTCUSD,M15,423,37.12,-61.26,0.75,63.14,-2.05,1.75,-1.37,4,12,-15.44
ST+HMA+WT_only,BTCUSD,M15,423,37.12,-61.26,0.75,63.14,-2.05,1.75,-1.37,4,12,-15.44
ST1.5+HMA+WT+MACD,BTCUSD,M15,502,37.85,-62.3,0.78,65.6,-1.83,1.68,-1.31,5,11,-15.61
ST+HMA+MACD_only,BTCUSD,M15,462,36.8,-63.16,0.77,64.85,-1.93,1.81,-1.37,4,14,-16.15
ST+WT+MACD_only,BTCUSD,M15,462,36.8,-63.16,0.77,64.85,-1.93,1.81,-1.37,4,14,-16.15
WT+ST+HMA,GBPUSD,H1,812,37.44,-64.65,0.86,71.21,-1.04,1.93,-1.34,6,13,-16.21
ST+HMA+MACD_only,EURUSD,H1,850,38.0,-66.94,0.86,70.05,-1.07,1.88,-1.34,5,10,-16.67
ST+WT+MACD_only,EURUSD,H1,850,38.0,-66.94,0.86,70.05,-1.07,1.88,-1.34,5,10,-16.67
ST+UT+HMA,EURUSD,H1,851,37.96,-67.16,0.86,70.26,-1.08,1.88,-1.34,5,10,-16.77
ST2.0+HMA+WT+MACD,EURUSD,H1,662,37.76,-66.42,0.83,71.58,-1.33,1.94,-1.41,6,12,-16.98
MACD+ST+HMA+WT,EURUSD,H1,622,36.82,-65.88,0.82,70.17,-1.46,1.92,-1.37,8,15,-17.04
HMA21+ST+WT+MACD,GBPUSD,H1,748,36.9,-68.36,0.84,70.75,-1.25,1.94,-1.35,5,11,-17.62
MACD+UT+WT,EURUSD,H1,643,36.7,-67.54,0.81,71.37,-1.49,1.91,-1.36,8,15,-17.71
HMA+UT+WT,EURUSD,H1,790,37.09,-69.17,0.84,72.78,-1.22,1.93,-1.35,6,11,-17.99
HMA+ST+MACD,GBPUSD,H1,958,38.31,-69.54,0.87,77.75,-0.99,1.91,-1.36,8,13,-18.06
ST+HMA+WT+MACD_default,EURUSD,H1,798,37.34,-70.03,0.84,74.19,-1.28,1.88,-1.34,4,10,-18.38
ST+HMA+WT_only,EURUSD,H1,798,37.34,-70.03,0.84,74.19,-1.28,1.88,-1.34,4,10,-18.38
ST+EMA200+HMA,EURUSD,H1,817,37.45,-70.84,0.84,73.4,-1.27,1.88,-1.34,5,10,-18.5
ST2.0+HMA+WT+MACD,GBPUSD,H1,684,36.99,-71.21,0.81,73.36,-1.53,1.93,-1.4,6,14,-18.98
