Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
WT+EMA200+MACD,EURUSD,H4,188,45.21,36.41,1.25,23.28,1.61,2.0,-1.32,5,8,23.61
UT+HMA+WT+MACD_default,BTCUSD,H1,1093,43.73,45.38,1.07,34.15,0.45,1.86,-1.36,8,10,23.6
MACD+ST+HMA,USDJPY,H4,147,47.62,30.75,1.28,14.36,1.79,1.9,-1.35,14,6,23.6
WT+ST+HMA+MACD,EURUSD,H4,190,45.26,35.54,1.24,23.28,1.57,1.98,-1.32,5,8,23.32
WT+ST+HMA,EURUSD,H4,190,45.26,35.54,1.24,23.28,1.57,1.98,-1.32,5,8,23.32
ST+HMA+WT+MACD_wide,EURUSD,H4,176,45.45,30.52,1.26,11.93,1.58,1.76,-1.16,5,8,23.03
ST+ALL_conservative,USDJPY,H4,154,42.86,31.03,1.31,10.21,1.85,1.84,-1.05,5,7,23.02
ST+EMA200+HMA,US30,H4,52,50.0,20.37,1.53,11.05,3.01,2.17,-1.42,3,9,22.83
HMA+ST+WT+MACD,EURUSD,H4,158,46.84,28.67,1.24,12.83,1.56,1.94,-1.38,4,5,22.67
ST+HMA+WT+MACD_default,USDJPY,H4,170,45.88,29.04,1.23,13.76,1.49,1.94,-1.34,6,5,22.38
ST+HMA+WT_only,USDJPY,H4,170,45.88,29.04,1.23,13.76,1.49,1.94,-1.34,6,5,22.38
HMA+UT+WT,EURUSD,H4,165,46.06,28.33,1.23,12.52,1.48,1.98,-1.38,4,5,22.32
HMA21+ST+WT+MACD,US30,H4,54,48.15,19.31,1.5,7.63,2.83,2.15,-1.33,7,5,22.2
UT+ALL_conservative,USDJPY,H4,147,42.86,28.82,1.31,13.74,1.8,1.84,-1.06,6,7,21.95
ST+HMA+WT+MACD_tight,EURUSD,H4,177,44.07,29.41,1.19,14.24,1.28,2.34,-1.54,4,7,21.76
ST_solo+HMA_tight,EURUSD,H4,177,44.07,29.41,1.19,14.24,1.28,2.34,-1.54,4,7,21.76
ST+HMA+MACD_only,USDJPY,H4,173,45.66,26.88,1.21,13.76,1.37,1.94,-1.35,6,5,21.55
ST+WT+MACD_only,USDJPY,H4,173,45.66,26.88,1.21,13.76,1.37,1.94,-1.35,6,5,21.55
MACD+ST+HMA+WT,USDJPY,H4,145,46.9,25.36,1.24,14.36,1.55,1.89,-1.35,14,8,21.54
HMA+UT+WT,US30,H4,47,48.94,15.96,1.48,6.74,2.85,2.09,-1.35,3,5,21.45
ST+UT+HMA,USDJPY,H4,175,45.71,26.62,1.21,13.89,1.35,1.93,-1.35,6,5,21.45
MACD+UT+WT,USDJPY,H4,149,46.98,25.5,1.24,16.53,1.53,1.87,-1.34,14,7,21.36
ST+HMA+WT+MACD_wide,GBPUSD,H4,171,43.86,27.04,1.25,14.16,1.5,1.77,-1.11,5,7,21.28
HMA+ST+WT+MACD,US30,H4,43,48.84,14.88,1.48,5.85,2.86,2.14,-1.38,3,4,21.2
HMA+ST+MACD,BTCUSD,H4,312,42.95,33.44,1.14,27.18,0.93,2.12,-1.4,6,10,21.02
ST+EMA200+HMA,USDJPY,H4,172,45.35,25.56,1.2,13.89,1.33,1.95,-1.34,6,5,21.02
HMA+ST+MACD,EURUSD,M15,435,41.84,33.2,1.11,21.96,0.72,2.0,-1.3,8,7,20.99
ST2.0+HMA+WT+MACD,EURUSD,H4,145,46.21,24.58,1.22,15.77,1.41,2.08,-1.47,7,7,20.84
UT+ST+WT,US30,H4,43,51.16,12.93,1.41,6.58,2.57,2.01,-1.49,5,4,20.76
ST+HMA+WT+MACD_wide,GBPUSD,M15,412,40.53,31.23,1.13,20.88,0.78,1.74,-1.06,5,9,20.25
ST+EMA200+HMA,BTCUSD,H1,1138,43.85,34.07,1.05,34.12,0.37,1.86,-1.38,8,12,20.16
ST2.0+HMA+WT+MACD,USDJPY,H4,137,43.8,25.99,1.23,22.8,1.49,2.27,-1.43,4,8,20.05
UT+ST+WT,USDJPY,H4,163,45.4,22.88,1.19,16.81,1.28,1.92,-1.34,6,6,19.89
